page_id,url,page_type,primary_keyword,title,meta_description,h1,h2_suggestions,content_status,priority,source_ids
plant_paradiznik,/rastline/paradiznik,plant_profile,paradižnik,"Paradižnik: sajenje, nega in opravila po mesecih","Preprost vodič za paradižnik v slovenskem vrtu: kdaj sejati ali saditi, kako zalivati, pogoste napake in mesečna opravila.",Paradižnik na vrtu: preprost vodič za začetnike,Kdaj sejati ali saditi; Kam posaditi; Nega po mesecih; Pogoste napake; Bolezni in škodljivci; Dobri in slabi sosedje,draft_structured,1,kgzs_plodovke_lonce;ivr_paradiznikova_plesen;kgzs_dobri_sosedje
when_paradiznik,/kdaj/paradiznik,when_to_sow_plant,kdaj sejati paradižnik,Kdaj sejati ali saditi paradižnik?,"Mesečni koledar za paradižnik v Sloveniji, z opozorili glede vremena, mraza, suše in tipa vrta.",Kdaj sejati ali saditi paradižnik v Sloveniji?,Kratek odgovor; Koledar po mesecih; Kaj preveriti pri vremenu; Pogoste napake začetnikov; Sorodne rastline,needs_editor_review,1,kgzs_plodovke_lonce;ivr_paradiznikova_plesen;kgzs_dobri_sosedje
plant_paprika,/rastline/paprika,plant_profile,paprika,"Paprika: sajenje, nega in opravila po mesecih","Preprost vodič za paprika v slovenskem vrtu: kdaj sejati ali saditi, kako zalivati, pogoste napake in mesečna opravila.",Paprika na vrtu: preprost vodič za začetnike,Kdaj sejati ali saditi; Kam posaditi; Nega po mesecih; Pogoste napake; Bolezni in škodljivci; Dobri in slabi sosedje,draft_structured,1,kgzs_plodovke_lonce;ivr_portal
when_paprika,/kdaj/paprika,when_to_sow_plant,kdaj sejati paprika,Kdaj sejati ali saditi paprika?,"Mesečni koledar za paprika v Sloveniji, z opozorili glede vremena, mraza, suše in tipa vrta.",Kdaj sejati ali saditi paprika v Sloveniji?,Kratek odgovor; Koledar po mesecih; Kaj preveriti pri vremenu; Pogoste napake začetnikov; Sorodne rastline,needs_editor_review,1,kgzs_plodovke_lonce;ivr_portal
plant_kumare,/rastline/kumare,plant_profile,kumare,"Kumare: sajenje, nega in opravila po mesecih","Preprost vodič za kumare v slovenskem vrtu: kdaj sejati ali saditi, kako zalivati, pogoste napake in mesečna opravila.",Kumare na vrtu: preprost vodič za začetnike,Kdaj sejati ali saditi; Kam posaditi; Nega po mesecih; Pogoste napake; Bolezni in škodljivci; Dobri in slabi sosedje,draft_structured,1,kgzs_plodovke_lonce;ivr_pepelovke_bucevk
when_kumare,/kdaj/kumare,when_to_sow_plant,kdaj sejati kumare,Kdaj sejati ali saditi kumare?,"Mesečni koledar za kumare v Sloveniji, z opozorili glede vremena, mraza, suše in tipa vrta.",Kdaj sejati ali saditi kumare v Sloveniji?,Kratek odgovor; Koledar po mesecih; Kaj preveriti pri vremenu; Pogoste napake začetnikov; Sorodne rastline,needs_editor_review,2,kgzs_plodovke_lonce;ivr_pepelovke_bucevk
plant_bucke,/rastline/bucke,plant_profile,bučke,"Bučke: sajenje, nega in opravila po mesecih","Preprost vodič za bučke v slovenskem vrtu: kdaj sejati ali saditi, kako zalivati, pogoste napake in mesečna opravila.",Bučke na vrtu: preprost vodič za začetnike,Kdaj sejati ali saditi; Kam posaditi; Nega po mesecih; Pogoste napake; Bolezni in škodljivci; Dobri in slabi sosedje,draft_structured,1,ivr_pepelovke_bucevk;kgzs_plodovke_lonce
when_bucke,/kdaj/bucke,when_to_sow_plant,kdaj sejati bučke,Kdaj sejati ali saditi bučke?,"Mesečni koledar za bučke v Sloveniji, z opozorili glede vremena, mraza, suše in tipa vrta.",Kdaj sejati ali saditi bučke v Sloveniji?,Kratek odgovor; Koledar po mesecih; Kaj preveriti pri vremenu; Pogoste napake začetnikov; Sorodne rastline,needs_editor_review,2,ivr_pepelovke_bucevk;kgzs_plodovke_lonce
plant_solata,/rastline/solata,plant_profile,solata,"Solata: sajenje, nega in opravila po mesecih","Preprost vodič za solata v slovenskem vrtu: kdaj sejati ali saditi, kako zalivati, pogoste napake in mesečna opravila.",Solata na vrtu: preprost vodič za začetnike,Kdaj sejati ali saditi; Kam posaditi; Nega po mesecih; Pogoste napake; Bolezni in škodljivci; Dobri in slabi sosedje,draft_structured,1,ivr_listne_usi_solatnice;kgzs_eknjiznica
when_solata,/kdaj/solata,when_to_sow_plant,kdaj sejati solata,Kdaj sejati ali saditi solata?,"Mesečni koledar za solata v Sloveniji, z opozorili glede vremena, mraza, suše in tipa vrta.",Kdaj sejati ali saditi solata v Sloveniji?,Kratek odgovor; Koledar po mesecih; Kaj preveriti pri vremenu; Pogoste napake začetnikov; Sorodne rastline,needs_editor_review,1,ivr_listne_usi_solatnice;kgzs_eknjiznica
plant_spinaca,/rastline/spinaca,plant_profile,špinača,"Špinača: sajenje, nega in opravila po mesecih","Preprost vodič za špinača v slovenskem vrtu: kdaj sejati ali saditi, kako zalivati, pogoste napake in mesečna opravila.",Špinača na vrtu: preprost vodič za začetnike,Kdaj sejati ali saditi; Kam posaditi; Nega po mesecih; Pogoste napake; Bolezni in škodljivci; Dobri in slabi sosedje,draft_structured,2,kgzs_eknjiznica;arso_agromet
when_spinaca,/kdaj/spinaca,when_to_sow_plant,kdaj sejati špinača,Kdaj sejati ali saditi špinača?,"Mesečni koledar za špinača v Sloveniji, z opozorili glede vremena, mraza, suše in tipa vrta.",Kdaj sejati ali saditi špinača v Sloveniji?,Kratek odgovor; Koledar po mesecih; Kaj preveriti pri vremenu; Pogoste napake začetnikov; Sorodne rastline,needs_editor_review,2,kgzs_eknjiznica;arso_agromet
plant_korenje,/rastline/korenje,plant_profile,korenje,"Korenje: sajenje, nega in opravila po mesecih","Preprost vodič za korenje v slovenskem vrtu: kdaj sejati ali saditi, kako zalivati, pogoste napake in mesečna opravila.",Korenje na vrtu: preprost vodič za začetnike,Kdaj sejati ali saditi; Kam posaditi; Nega po mesecih; Pogoste napake; Bolezni in škodljivci; Dobri in slabi sosedje,draft_structured,1,kgzs_temp_tal;ivr_portal
when_korenje,/kdaj/korenje,when_to_sow_plant,kdaj sejati korenje,Kdaj sejati ali saditi korenje?,"Mesečni koledar za korenje v Sloveniji, z opozorili glede vremena, mraza, suše in tipa vrta.",Kdaj sejati ali saditi korenje v Sloveniji?,Kratek odgovor; Koledar po mesecih; Kaj preveriti pri vremenu; Pogoste napake začetnikov; Sorodne rastline,needs_editor_review,1,kgzs_temp_tal;ivr_portal
plant_redkvica,/rastline/redkvica,plant_profile,redkvica,"Redkvica: sajenje, nega in opravila po mesecih","Preprost vodič za redkvica v slovenskem vrtu: kdaj sejati ali saditi, kako zalivati, pogoste napake in mesečna opravila.",Redkvica na vrtu: preprost vodič za začetnike,Kdaj sejati ali saditi; Kam posaditi; Nega po mesecih; Pogoste napake; Bolezni in škodljivci; Dobri in slabi sosedje,draft_structured,2,kgzs_temp_tal;ivr_kapusnice
when_redkvica,/kdaj/redkvica,when_to_sow_plant,kdaj sejati redkvica,Kdaj sejati ali saditi redkvica?,"Mesečni koledar za redkvica v Sloveniji, z opozorili glede vremena, mraza, suše in tipa vrta.",Kdaj sejati ali saditi redkvica v Sloveniji?,Kratek odgovor; Koledar po mesecih; Kaj preveriti pri vremenu; Pogoste napake začetnikov; Sorodne rastline,needs_editor_review,2,kgzs_temp_tal;ivr_kapusnice
plant_fizol_nizek,/rastline/fizol-nizek,plant_profile,nizek fižol,"Nizek fižol: sajenje, nega in opravila po mesecih","Preprost vodič za nizek fižol v slovenskem vrtu: kdaj sejati ali saditi, kako zalivati, pogoste napake in mesečna opravila.",Nizek fižol na vrtu: preprost vodič za začetnike,Kdaj sejati ali saditi; Kam posaditi; Nega po mesecih; Pogoste napake; Bolezni in škodljivci; Dobri in slabi sosedje,draft_structured,1,ivr_fizolova_muha;kgzs_eknjiznica
when_fizol_nizek,/kdaj/fizol-nizek,when_to_sow_plant,kdaj sejati nizek fižol,Kdaj sejati ali saditi nizek fižol?,"Mesečni koledar za nizek fižol v Sloveniji, z opozorili glede vremena, mraza, suše in tipa vrta.",Kdaj sejati ali saditi nizek fižol v Sloveniji?,Kratek odgovor; Koledar po mesecih; Kaj preveriti pri vremenu; Pogoste napake začetnikov; Sorodne rastline,needs_editor_review,2,ivr_fizolova_muha;kgzs_eknjiznica
plant_grah,/rastline/grah,plant_profile,grah,"Grah: sajenje, nega in opravila po mesecih","Preprost vodič za grah v slovenskem vrtu: kdaj sejati ali saditi, kako zalivati, pogoste napake in mesečna opravila.",Grah na vrtu: preprost vodič za začetnike,Kdaj sejati ali saditi; Kam posaditi; Nega po mesecih; Pogoste napake; Bolezni in škodljivci; Dobri in slabi sosedje,draft_structured,2,ivr_fizolova_muha;kgzs_eknjiznica
when_grah,/kdaj/grah,when_to_sow_plant,kdaj sejati grah,Kdaj sejati ali saditi grah?,"Mesečni koledar za grah v Sloveniji, z opozorili glede vremena, mraza, suše in tipa vrta.",Kdaj sejati ali saditi grah v Sloveniji?,Kratek odgovor; Koledar po mesecih; Kaj preveriti pri vremenu; Pogoste napake začetnikov; Sorodne rastline,needs_editor_review,2,ivr_fizolova_muha;kgzs_eknjiznica
plant_zelje,/rastline/zelje,plant_profile,zelje,"Zelje: sajenje, nega in opravila po mesecih","Preprost vodič za zelje v slovenskem vrtu: kdaj sejati ali saditi, kako zalivati, pogoste napake in mesečna opravila.",Zelje na vrtu: preprost vodič za začetnike,Kdaj sejati ali saditi; Kam posaditi; Nega po mesecih; Pogoste napake; Bolezni in škodljivci; Dobri in slabi sosedje,draft_structured,2,ivr_kapusnice
when_zelje,/kdaj/zelje,when_to_sow_plant,kdaj sejati zelje,Kdaj sejati ali saditi zelje?,"Mesečni koledar za zelje v Sloveniji, z opozorili glede vremena, mraza, suše in tipa vrta.",Kdaj sejati ali saditi zelje v Sloveniji?,Kratek odgovor; Koledar po mesecih; Kaj preveriti pri vremenu; Pogoste napake začetnikov; Sorodne rastline,needs_editor_review,2,ivr_kapusnice
plant_brokoli,/rastline/brokoli,plant_profile,brokoli,"Brokoli: sajenje, nega in opravila po mesecih","Preprost vodič za brokoli v slovenskem vrtu: kdaj sejati ali saditi, kako zalivati, pogoste napake in mesečna opravila.",Brokoli na vrtu: preprost vodič za začetnike,Kdaj sejati ali saditi; Kam posaditi; Nega po mesecih; Pogoste napake; Bolezni in škodljivci; Dobri in slabi sosedje,draft_structured,2,ivr_kapusnice
when_brokoli,/kdaj/brokoli,when_to_sow_plant,kdaj sejati brokoli,Kdaj sejati ali saditi brokoli?,"Mesečni koledar za brokoli v Sloveniji, z opozorili glede vremena, mraza, suše in tipa vrta.",Kdaj sejati ali saditi brokoli v Sloveniji?,Kratek odgovor; Koledar po mesecih; Kaj preveriti pri vremenu; Pogoste napake začetnikov; Sorodne rastline,needs_editor_review,2,ivr_kapusnice
plant_cebula,/rastline/cebula,plant_profile,čebula,"Čebula: sajenje, nega in opravila po mesecih","Preprost vodič za čebula v slovenskem vrtu: kdaj sejati ali saditi, kako zalivati, pogoste napake in mesečna opravila.",Čebula na vrtu: preprost vodič za začetnike,Kdaj sejati ali saditi; Kam posaditi; Nega po mesecih; Pogoste napake; Bolezni in škodljivci; Dobri in slabi sosedje,draft_structured,2,kgzs_eknjiznica;source_needed
when_cebula,/kdaj/cebula,when_to_sow_plant,kdaj sejati čebula,Kdaj sejati ali saditi čebula?,"Mesečni koledar za čebula v Sloveniji, z opozorili glede vremena, mraza, suše in tipa vrta.",Kdaj sejati ali saditi čebula v Sloveniji?,Kratek odgovor; Koledar po mesecih; Kaj preveriti pri vremenu; Pogoste napake začetnikov; Sorodne rastline,needs_editor_review,1,kgzs_eknjiznica;source_needed
plant_cesen,/rastline/cesen,plant_profile,česen,"Česen: sajenje, nega in opravila po mesecih","Preprost vodič za česen v slovenskem vrtu: kdaj sejati ali saditi, kako zalivati, pogoste napake in mesečna opravila.",Česen na vrtu: preprost vodič za začetnike,Kdaj sejati ali saditi; Kam posaditi; Nega po mesecih; Pogoste napake; Bolezni in škodljivci; Dobri in slabi sosedje,draft_structured,2,kgzs_eknjiznica;source_needed
when_cesen,/kdaj/cesen,when_to_sow_plant,kdaj sejati česen,Kdaj sejati ali saditi česen?,"Mesečni koledar za česen v Sloveniji, z opozorili glede vremena, mraza, suše in tipa vrta.",Kdaj sejati ali saditi česen v Sloveniji?,Kratek odgovor; Koledar po mesecih; Kaj preveriti pri vremenu; Pogoste napake začetnikov; Sorodne rastline,needs_editor_review,1,kgzs_eknjiznica;source_needed
plant_krompir,/rastline/krompir,plant_profile,krompir,"Krompir: sajenje, nega in opravila po mesecih","Preprost vodič za krompir v slovenskem vrtu: kdaj sejati ali saditi, kako zalivati, pogoste napake in mesečna opravila.",Krompir na vrtu: preprost vodič za začetnike,Kdaj sejati ali saditi; Kam posaditi; Nega po mesecih; Pogoste napake; Bolezni in škodljivci; Dobri in slabi sosedje,draft_structured,2,ivr_krompirjeva_plesen;ivr_portal
when_krompir,/kdaj/krompir,when_to_sow_plant,kdaj sejati krompir,Kdaj sejati ali saditi krompir?,"Mesečni koledar za krompir v Sloveniji, z opozorili glede vremena, mraza, suše in tipa vrta.",Kdaj sejati ali saditi krompir v Sloveniji?,Kratek odgovor; Koledar po mesecih; Kaj preveriti pri vremenu; Pogoste napake začetnikov; Sorodne rastline,needs_editor_review,2,ivr_krompirjeva_plesen;ivr_portal
plant_bazilika,/rastline/bazilika,plant_profile,bazilika,"Bazilika: sajenje, nega in opravila po mesecih","Preprost vodič za bazilika v slovenskem vrtu: kdaj sejati ali saditi, kako zalivati, pogoste napake in mesečna opravila.",Bazilika na vrtu: preprost vodič za začetnike,Kdaj sejati ali saditi; Kam posaditi; Nega po mesecih; Pogoste napake; Bolezni in škodljivci; Dobri in slabi sosedje,draft_structured,1,kgzs_dobri_sosedje;kgzs_plodovke_lonce
when_bazilika,/kdaj/bazilika,when_to_sow_plant,kdaj sejati bazilika,Kdaj sejati ali saditi bazilika?,"Mesečni koledar za bazilika v Sloveniji, z opozorili glede vremena, mraza, suše in tipa vrta.",Kdaj sejati ali saditi bazilika v Sloveniji?,Kratek odgovor; Koledar po mesecih; Kaj preveriti pri vremenu; Pogoste napake začetnikov; Sorodne rastline,needs_editor_review,2,kgzs_dobri_sosedje;kgzs_plodovke_lonce
plant_petersilj_list,/rastline/petersilj-list,plant_profile,listni peteršilj,"Listni peteršilj: sajenje, nega in opravila po mesecih","Preprost vodič za listni peteršilj v slovenskem vrtu: kdaj sejati ali saditi, kako zalivati, pogoste napake in mesečna opravila.",Listni peteršilj na vrtu: preprost vodič za začetnike,Kdaj sejati ali saditi; Kam posaditi; Nega po mesecih; Pogoste napake; Bolezni in škodljivci; Dobri in slabi sosedje,draft_structured,2,kgzs_eknjiznica;source_needed
when_petersilj_list,/kdaj/petersilj-list,when_to_sow_plant,kdaj sejati listni peteršilj,Kdaj sejati ali saditi listni peteršilj?,"Mesečni koledar za listni peteršilj v Sloveniji, z opozorili glede vremena, mraza, suše in tipa vrta.",Kdaj sejati ali saditi listni peteršilj v Sloveniji?,Kratek odgovor; Koledar po mesecih; Kaj preveriti pri vremenu; Pogoste napake začetnikov; Sorodne rastline,needs_editor_review,2,kgzs_eknjiznica;source_needed
plant_drobnjak,/rastline/drobnjak,plant_profile,drobnjak,"Drobnjak: sajenje, nega in opravila po mesecih","Preprost vodič za drobnjak v slovenskem vrtu: kdaj sejati ali saditi, kako zalivati, pogoste napake in mesečna opravila.",Drobnjak na vrtu: preprost vodič za začetnike,Kdaj sejati ali saditi; Kam posaditi; Nega po mesecih; Pogoste napake; Bolezni in škodljivci; Dobri in slabi sosedje,draft_structured,2,kgzs_eknjiznica;source_needed
when_drobnjak,/kdaj/drobnjak,when_to_sow_plant,kdaj sejati drobnjak,Kdaj sejati ali saditi drobnjak?,"Mesečni koledar za drobnjak v Sloveniji, z opozorili glede vremena, mraza, suše in tipa vrta.",Kdaj sejati ali saditi drobnjak v Sloveniji?,Kratek odgovor; Koledar po mesecih; Kaj preveriti pri vremenu; Pogoste napake začetnikov; Sorodne rastline,needs_editor_review,2,kgzs_eknjiznica;source_needed
plant_jagode,/rastline/jagode,plant_profile,jagode,"Jagode: sajenje, nega in opravila po mesecih","Preprost vodič za jagode v slovenskem vrtu: kdaj sejati ali saditi, kako zalivati, pogoste napake in mesečna opravila.",Jagode na vrtu: preprost vodič za začetnike,Kdaj sejati ali saditi; Kam posaditi; Nega po mesecih; Pogoste napake; Bolezni in škodljivci; Dobri in slabi sosedje,draft_structured,1,kgzs_eknjiznica;source_needed
when_jagode,/kdaj/jagode,when_to_sow_plant,kdaj sejati jagode,Kdaj sejati ali saditi jagode?,"Mesečni koledar za jagode v Sloveniji, z opozorili glede vremena, mraza, suše in tipa vrta.",Kdaj sejati ali saditi jagode v Sloveniji?,Kratek odgovor; Koledar po mesecih; Kaj preveriti pri vremenu; Pogoste napake začetnikov; Sorodne rastline,needs_editor_review,2,kgzs_eknjiznica;source_needed
plant_maline,/rastline/maline,plant_profile,maline,"Maline: sajenje, nega in opravila po mesecih","Preprost vodič za maline v slovenskem vrtu: kdaj sejati ali saditi, kako zalivati, pogoste napake in mesečna opravila.",Maline na vrtu: preprost vodič za začetnike,Kdaj sejati ali saditi; Kam posaditi; Nega po mesecih; Pogoste napake; Bolezni in škodljivci; Dobri in slabi sosedje,draft_structured,2,kgzs_eknjiznica;source_needed
when_maline,/kdaj/maline,when_to_sow_plant,kdaj sejati maline,Kdaj sejati ali saditi maline?,"Mesečni koledar za maline v Sloveniji, z opozorili glede vremena, mraza, suše in tipa vrta.",Kdaj sejati ali saditi maline v Sloveniji?,Kratek odgovor; Koledar po mesecih; Kaj preveriti pri vremenu; Pogoste napake začetnikov; Sorodne rastline,needs_editor_review,2,kgzs_eknjiznica;source_needed
