id,active,section,condition_logic,metric_1,operator_1,value_1,metric_2,operator_2,value_2,unit,forecast_day_offset,lookback_days,severity,title,short_message,detail,recommended_action,avoid_action,applies_months,applies_garden_types,applies_task_types,plant_group_tags,confidence,source_ids,ui_badge,sort_weight
rain_today_skip_watering,yes,wait,all,precipitation_sum,>=,3,,,,mm,0,0,medium,Zalivanje danes verjetno ni potrebno,"Napovedan je dež, zato najprej preveri vlažnost tal.","Pri dežju ne zalivaj avtomatično. Lonci pod streho so izjema, ker jih dež pogosto ne doseže.",Preveri zemljo s prstom; zalij samo suhe lonce ali pokrite dele.,"Ne zalivaj celotnega vrta po urniku, če je zemlja že mokra.","3,4,5,6,7,8,9,10","vrt,visoka_greda,balkon,rastlinjak",watering,all,high,open_meteo_docs,dež,95
heavy_rain_avoid_soil_work,yes,wait,all,precipitation_sum,>=,15,,,,mm,0,0,high,Ne delaj po mokri zemlji,Močnejši dež lahko zbije tla in oteži delo na gredah.,"Po močnem dežju je bolje počakati, da se tla odcedijo. Delo v premokri zemlji lahko pokvari strukturo tal.","Preveri odvodnjavanje, lonce in mlade sadike.","Ne rahljaj, ne prekopavaj in ne hodi po mokri gredi.","1,2,3,4,5,6,7,8,9,10,11,12","vrt,visoka_greda","soil_prep,sowing_outdoor,transplanting",all,medium,open_meteo_docs,mokra tla,98
heavy_rain_protect_containers,yes,watch,all,precipitation_sum,>=,15,,,,mm,0,0,medium,Preveri lonce in korita,Ob močnem dežju se lahko lonci preveč namočijo.,"Balkonske posode morajo imeti odtočne luknje. Če voda stoji, korenine trpijo.",Premakni občutljive lonce pod streho ali preveri odtekanje vode.,"Ne pusti loncev stati v podstavkih, polnih vode.","3,4,5,6,7,8,9,10",balkon,"protection,watering","herbs,leafy,fruiting",high,open_meteo_docs,lonci,85
rain_tomorrow_harvest_before,yes,today,all,precipitation_sum,>=,8,,,,mm,1,0,low,Obiraj zrele pridelke pred dežjem,"Če je jutri dež, se danes splača pobrati zrele plodove in zelišča.",Zreli plodovi lahko po dežju pokajo ali hitreje propadajo. Pri zeliščih je za sušenje boljše suho vreme.,"Poberi zrele paradižnike, jagode, bučke, solato ali zelišča, če so pripravljeni.",Ne pobiraj nezrelih pridelkov samo zaradi napovedi.,"5,6,7,8,9,10","vrt,visoka_greda,balkon",harvesting,"fruiting,leafy,herbs,berries",medium,open_meteo_docs,pred dežjem,70
dry_3d_water_priority,yes,today,all,precipitation_3d,<,2,temperature_max,>=,24,mm/°C,0,3,medium,Preveri zalivanje,"Več dni je suho in toplo, zato preveri vlažnost tal.",Visoke grede in lonci se izsušijo hitreje kot klasične grede. Zalivanje prilagodi dejanski vlažnosti zemlje.,"Zalivaj zjutraj ali zvečer, predvsem lonce, visoke grede in plodovke.",Ne zalivaj po listih sredi dneva.,"4,5,6,7,8,9","vrt,visoka_greda,balkon",watering,"fruiting,leafy,herbs,berries",high,open_meteo_docs,suho,100
dry_7d_mulch_recommended,yes,this_week,all,precipitation_7d,<,5,temperature_max,>=,25,mm/°C,0,7,medium,Dodaj zastirko,Ob suhem tednu zastirka pomaga zadržati vlago.,"Zastirka zmanjša izhlapevanje, blaži nihanja temperature tal in zavira plevel.","Okoli paradižnika, bučk, jagod in visokih gred dodaj tanko plast primerne zastirke.",Ne nalagaj debele mokre zastirke neposredno ob steblo.,"5,6,7,8,9","vrt,visoka_greda","mulching,watering","fruiting,berries",medium,"open_meteo_docs,arso_agromet_drought",zastirka,65
hot_day_watering_timing,yes,today,all,temperature_max,>=,28,,,,°C,0,0,medium,Zalivaj zgodaj ali zvečer,Vroč dan ni primeren za zalivanje po listih sredi dneva.,"Pri visokih temperaturah je bolje zalivati zjutraj ali zvečer, ob korenini.",Zalij občutljive rastline pred vročino ali po sončnem zahodu.,"Ne moči listov sredi dneva, če ni nujno.","5,6,7,8,9","vrt,visoka_greda,balkon",watering,all,high,open_meteo_docs,vroče,98
very_hot_avoid_transplanting,yes,wait,all,temperature_max,>=,32,,,,°C,0,0,high,Presajanje raje prestavi,Zelo vroč dan je stresen za sadike.,"Mlade sadike se v vročini hitreje izsušijo in lažje ovenijo. Če moraš presajati, izberi večer in dobro zalij.",Presajanje prestavi na hladnejši dan ali večer.,Ne presajaj opoldne ali v največji vročini.,"5,6,7,8,9","vrt,visoka_greda,balkon","transplanting,planting","fruiting,leafy,brassicas,herbs",high,open_meteo_docs,vročinski stres,99
heatwave_3d_extra_care,yes,watch,all,hot_days_3d,>=,3,,,,days,0,3,high,Vročinski niz dni,Več vročih dni zapored poveča potrebo po vodi in senci.,"Pri loncih, visokih gredah in plodovkah spremljaj venenje, suho zemljo in ožige.","Zalivaj pogosteje, uporabi zastirko in po potrebi začasno senčenje.",Ne dodajaj močnega gnojila v času vročinskega stresa.,"6,7,8,9","vrt,visoka_greda,balkon,rastlinjak","watering,protection,mulching",all,medium,open_meteo_docs,vročinski niz,93
cold_night_protect_seedlings,yes,watch,all,temperature_min,<,5,,,,°C,0,0,medium,Hladna noč za občutljive sadike,Občutljive rastline spremljaj in po potrebi zaščiti.,"Plodovke in mlade sadike so občutljive na hladne noči, posebej spomladi.",Lončke umakni v zavetje ali sadike pokrij z vrtno kopreno.,Ne presajaj plodovk na prosto tik pred hladno nočjo.,"3,4,5,9,10","vrt,visoka_greda,balkon","protection,transplanting","fruiting,herbs",high,open_meteo_docs,hladna noč,96
frost_risk_warning,yes,wait,all,temperature_min,<=,2,,,,°C,0,0,high,Možnost pozebe,"Občutljive rastline zaščiti, presajanje pa prestavi.","Pri nizkih napovedanih temperaturah je večje tveganje za pozebo, zlasti v kotlinah in izpostavljenih legah.","Pokrij občutljive sadike, lonce premakni v zavetje in preveri plodovke.","Ne presajaj paradižnika, paprike, kumar ali bučk na prosto.","1,2,3,4,5,9,10,11,12","vrt,visoka_greda,balkon","transplanting,planting,protection","fruiting,herbs,berries",high,open_meteo_docs,pozeba,110
windy_avoid_spraying_transplanting,yes,wait,all,wind_speed_max,>=,30,,,,km/h,0,0,medium,Vetrovno vreme,"Presajanje, škropljenje in občutljiva dela raje prestavi.","Veter izsušuje sadike, otežuje zalivanje in lahko poškoduje visoke rastline.",Preveri opore in lonce na balkonu.,Ne škropi in ne presajaj v močnem vetru.,"1,2,3,4,5,6,7,8,9,10,11,12","vrt,visoka_greda,balkon","transplanting,protection,staking",all,high,open_meteo_docs,veter,97
strong_wind_secure_plants,yes,today,any,wind_gusts_max,>=,45,wind_speed_max,>=,35,km/h,0,0,high,Preveri opore in lonce,Močan veter lahko prevrne lonce ali poškoduje visoke rastline.,"Posebej preveri paradižnik, visok fižol, kumare na opori in balkonska korita.","Utrdi opore, umakni lahke lonce in zapri rastlinjak/tunel po potrebi.",Ne puščaj lahkih korit na izpostavljenem robu balkona.,"3,4,5,6,7,8,9,10","vrt,visoka_greda,balkon,rastlinjak","staking,protection","fruiting,legumes,herbs",high,open_meteo_docs,sunki vetra,105
warm_humid_disease_watch,yes,watch,all,relative_humidity_avg,>=,80,temperature_max,>=,20,%/°C,0,0,medium,Več pozornosti na bolezni,Toplo in vlažno vreme lahko poveča težave z glivičnimi boleznimi.,"To ni diagnoza, ampak opomnik za pregled listov, zračenje rastlinjaka in zalivanje ob korenini.","Preglej paradižnik, kumare, bučke in krompir za pege ali plesen.","Ne zalivaj po listih, če ni nujno.","5,6,7,8,9","vrt,visoka_greda,rastlinjak","disease_check,ventilation,watering","fruiting,leafy,brassicas",medium,open_meteo_docs,vlaga,88
greenhouse_hot_ventilate,yes,today,all,temperature_max,>=,24,,,,°C,0,0,medium,Prezrači rastlinjak,V zaprtih prostorih se temperatura hitro dvigne.,"Tudi če zunaj ni ekstremno vroče, se rastlinjak ali tunel lahko močno segreje.",Zjutraj odpri zračnike ali vrata in preveri vlažnost.,Ne pusti mladih rastlin zaprtih v pregretem tunelu.,"3,4,5,6,7,8,9,10",rastlinjak,"ventilation,watering",all,medium,open_meteo_docs,rastlinjak,86
balcony_container_dry_fast,yes,today,all,temperature_max,>=,24,precipitation_sum,<,2,°C/mm,0,0,medium,Balkonski lonci se hitro sušijo,Lonci in korita potrebujejo več preverjanja kot grede.,"Na balkonu dež pogosto ne doseže vseh posod, veter in sonce pa jih hitro izsušita.","Preveri lonce z zelišči, paradižnikom, jagodami in solato.","Ne predvidevaj, da je dež zalil posode pod streho.","4,5,6,7,8,9",balkon,watering,all,high,open_meteo_docs,balkon,90
raised_bed_dry_fast,yes,today,all,temperature_max,>=,25,precipitation_3d,<,3,°C/mm,0,3,medium,Visoka greda potrebuje preverjanje vlage,Visoke grede se v toplem in suhem vremenu hitreje izsušijo.,Zaradi dvignjene lege in rahlega substrata lahko vlaga hitreje izgine kot na klasični gredi.,Preveri vlago nekaj centimetrov globoko in po potrebi zalij.,"Ne zalivaj samo površinsko, če je spodaj še suho.","4,5,6,7,8,9",visoka_greda,"watering,mulching",all,high,open_meteo_docs,visoka greda,91
good_transplant_window,yes,today,all,temperature_max,between,15|26,wind_speed_max,<,25,°C/km/h,0,0,low,Dober dan za presajanje,Blago vreme in manj vetra sta ugodnejša za sadike.,"Presajanje je še vedno odvisno od rastline, sezone in pripravljenosti sadik.","Če je rastlina v sezoni za presajanje, opravi delo zjutraj ali proti večeru.","Ne presajaj rastlin, ki še niso utrjene ali niso v sezoni.","3,4,5,6,9,10","vrt,visoka_greda,balkon","transplanting,planting","leafy,brassicas,fruiting,herbs",medium,open_meteo_docs,blago vreme,60
avoid_fertilizing_before_heavy_rain,yes,wait,all,precipitation_sum,>=,12,,,,mm,1,0,medium,Gnojenje pred močnim dežjem prestavi,Močan dež lahko hranila spere ali razporedi neenakomerno.,"To še posebej velja za hitro topna gnojila in lonce. Kompost je manj problematičen, a ga je smiselno uporabiti ob stabilnejšem vremenu.",Počakaj na bolj stabilno vreme ali uporabi kompost premišljeno.,Ne dodajaj hitro topnih gnojil tik pred močnim dežjem.,"3,4,5,6,7,8,9,10","vrt,visoka_greda,balkon",fertilizing,all,medium,open_meteo_docs,gnojenje,75
slug_watch_after_rain,yes,watch,all,precipitation_sum,>=,5,temperature_min,>=,8,mm/°C,0,0,medium,Po dežju preveri polže,Vlažno vreme je pogosto povezano z več škode na mladih rastlinah.,"Pri solati, kapusnicah in mladih sadikah preveri robove listov in skrivališča.","Zvečer preveri mlade rastline in odstrani polže ročno, če jih opaziš.",Ne uporabljaj ukrepov brez preverjanja dejanske prisotnosti škodljivcev.,"3,4,5,6,7,8,9,10","vrt,visoka_greda",pest_check,"leafy,brassicas,seedlings",medium,open_meteo_docs,polži,80
soil_cold_sowing_watch,yes,watch,all,soil_temperature_6cm_avg,<,8,,,,°C,0,0,medium,Tla so lahko še hladna,Pri setvi na prosto preveri temperaturo in stanje tal.,"Temperatura tal je odvisna od lege, tipa tal in pokritosti. Modelni podatek naj bo samo pomoč, ne dokončna odločitev.",Za občutljive setve počakaj ali uporabi kopreno/tunel.,Ne sej toploljubnih rastlin v hladna tla.,"2,3,4,5","vrt,visoka_greda",sowing_outdoor,"fruiting,root,leafy",low,"open_meteo_docs,arso_soil_temperature",tla,78
high_uv_work_timing,yes,watch,all,uv_index_max,>=,7,,,,UV,0,0,medium,Delo prestavi iz opoldneva,Ob visokem UV indeksu delaj zjutraj ali proti večeru.,"To je nasvet za uporabnika, ne za rastline. Pri delu na vrtu poskrbi za zaščito pred soncem.",Izberi jutranji ali večerni termin za daljša opravila.,Ne opravljaj daljših del na najmočnejšem soncu.,"5,6,7,8,9","vrt,visoka_greda,balkon","soil_prep,weeding,harvesting,watering",all,medium,open_meteo_docs,UV,55
weather_good_for_weeding,yes,this_week,all,precipitation_sum,<,2,temperature_max,between,12|26,mm/°C,0,0,low,Dober dan za pletje,"Če tla niso premokra in ni prevroče, je pletje lažje.","Rahlo vlažna tla so lahko primerna, premokra tla pa raje pusti pri miru.",Oplevi manjši del vrta in odstrani plevel pred semenenjem.,Ne hodi po mokrih gredah po močnem dežju.,"3,4,5,6,7,8,9,10","vrt,visoka_greda",weeding,all,medium,open_meteo_docs,plevel,40
stormy_weather_general_wait,yes,wait,any,weather_code,in,95|96|99,wind_gusts_max,>=,50,code/km/h,0,0,high,Nevarnejše vreme: delo prestavi,Ob nevihtah ali močnih sunkih vetra raje ne delaj na vrtu.,Varnost uporabnika ima prednost pred vrtnimi opravili.,"Preveri opore in zaščito, ko je varno.",Ne delaj zunaj med nevihto ali močnimi sunki vetra.,"1,2,3,4,5,6,7,8,9,10,11,12","vrt,visoka_greda,balkon,rastlinjak",all,all,high,open_meteo_docs,nevihta,120
morning_dew_disease_check,yes,watch,all,relative_humidity_avg,>=,85,temperature_min,>=,10,%/°C,0,0,low,Vlažna jutra: preveri liste,Dolgotrajna vlaga na listih lahko pomeni več težav pri občutljivih rastlinah.,"Posebej glej spodnje liste paradižnika, kumare, bučke in gosto posejano solato.","Zalivaj ob korenini, odstrani bolne liste in poskrbi za zračnost.","Ne zapiraj rastlinjaka čez dan, če se pregreva in je vlažen.","5,6,7,8,9,10","vrt,visoka_greda,rastlinjak","disease_check,ventilation","fruiting,leafy",medium,open_meteo_docs,vlažno,73
cool_mild_day_good_for_harvest_leafy,yes,today,all,temperature_max,between,10|24,precipitation_sum,<,3,°C/mm,0,0,low,Dober dan za obiranje listnate zelenjave,"Bolj sveže vreme je prijetno za pobiranje solate, špinače in zelišč.","Obiraj zjutraj, ko so rastline bolj sveže, in ne trgaj več, kot potrebuješ.","Poberi zrele liste ali zelišča, če so pripravljena.","Ne obiraj mokrih rastlin za shranjevanje, če jih ne boš hitro porabil.","3,4,5,6,7,8,9,10,11","vrt,visoka_greda,balkon",harvesting,"leafy,herbs",medium,open_meteo_docs,obiranje,45
